Jour;Population herbivores;Population carnivores
0;50;100;
1;47.5;99.75;
2;45.1369;99.2649;
3;42.9132;98.5614;
4;40.8293;97.6576;
5;38.8835;96.5719;
6;37.0726;95.3235;
7;35.3923;93.9311;
8;33.8375;92.4129;
9;32.4024;90.7866;
10;31.0808;89.069;
11;29.8665;87.2758;
12;28.7532;85.4214;
13;27.7347;83.5195;
14;26.805;81.5823;
15;25.9585;79.6209;
16;25.1896;77.6455;
17;24.4932;75.665;
18;23.8646;73.6875;
19;23.2993;71.7199;
20;22.7932;69.7687;
21;22.3426;67.8391;
22;21.9441;65.9358;
23;21.5944;64.0628;
24;21.2907;62.2236;
25;21.0304;60.421;
26;20.8113;58.6574;
27;20.6311;56.9347;
28;20.488;55.2545;
29;20.3804;53.6178;
30;20.3067;52.0257;
31;20.2655;50.4788;
32;20.2558;48.9773;
33;20.2765;47.5216;
34;20.3268;46.1114;
35;20.4058;44.7468;
36;20.513;43.4274;
37;20.6478;42.1527;
38;20.8099;40.9222;
39;20.9988;39.7354;
40;21.2143;38.5916;
41;21.4563;37.4901;
42;21.7248;36.43;
43;22.0196;35.4107;
44;22.3408;34.4313;
45;22.6886;33.4909;
46;23.0632;32.5888;
47;23.4648;31.724;
48;23.8936;30.8958;
49;24.3501;30.1034;
50;24.8346;29.3458;
51;25.3475;28.6223;
52;25.8894;27.9322;
53;26.4607;27.2747;
54;27.062;26.6491;
55;27.6939;26.0547;
56;28.3571;25.4908;
57;29.0521;24.9568;
58;29.7796;24.4522;
59;30.5404;23.9763;
60;31.3352;23.5288;
61;32.1647;23.1092;
62;33.0296;22.717;
63;33.9308;22.352;
64;34.8689;22.0137;
65;35.8447;21.7021;
66;36.8591;21.4169;
67;37.9126;21.1581;
68;39.0061;20.9255;
69;40.1402;20.7191;
70;41.3155;20.5392;
71;42.5327;20.3858;
72;43.7923;20.2593;
73;45.0947;20.1599;
74;46.4403;20.0881;
75;47.8294;20.0445;
76;49.2622;20.0298;
77;50.7386;20.0445;
78;52.2585;20.0898;
79;53.8215;20.1666;
80;55.4272;20.276;
81;57.0747;20.4195;
82;58.763;20.5984;
83;60.4908;20.8145;
84;62.2562;21.0696;
85;64.0573;21.3658;
86;65.8916;21.7053;
87;67.7559;22.0907;
88;69.6469;22.5248;
89;71.5605;23.0104;
90;73.4919;23.551;
91;75.4357;24.15;
92;77.3857;24.8114;
93;79.3349;25.5392;
94;81.2755;26.338;
95;83.1987;27.2123;
96;85.0946;28.1673;
97;86.9524;29.2082;
98;88.7603;30.3403;
99;90.5053;31.5693;
100;92.1734;32.9006;
101;93.7495;34.34;
102;95.2176;35.8928;
103;96.5609;37.564;
104;97.7617;39.3581;
105;98.8021;41.2789;
106;99.6637;43.329;
107;100.329;45.5096;
108;100.779;47.8206;
109;100.999;50.2594;
110;100.973;52.8212;
111;100.688;55.4986;
112;100.134;58.281;
113;99.3048;61.1545;
114;98.1972;64.102;
115;96.8124;67.1027;
116;95.1566;70.1329;
117;93.2408;73.1655;
118;91.0809;76.1712;
119;88.6972;79.1188;
120;86.1144;81.9761;
121;83.3608;84.7109;
122;80.4673;87.2918;
123;77.4665;89.6894;
124;74.3919;91.8771;
125;71.2766;93.832;
126;68.1524;95.5352;
127;65.0491;96.973;
128;61.9935;98.136;
129;59.0094;99.0201;
130;56.1167;99.6258;
131;53.3319;99.9578;
132;50.6676;100.024;
133;48.1329;99.8377;
134;45.7341;99.4119;
135;43.4743;98.7631;
136;41.3544;97.9092;
137;39.3731;96.8688;
138;37.5277;95.6606;
139;35.8142;94.3036;
140;34.2275;92.8162;
141;32.762;91.2162;
142;31.4117;89.5207;
143;30.1703;87.7455;
144;29.0315;85.9056;
145;27.9891;84.0147;
146;27.037;82.0855;
147;26.1695;80.1294;
148;25.3811;78.1567;
149;24.6664;76.1767;
150;24.0207;74.1977;
151;23.4395;72.2269;
152;22.9185;70.2709;
153;22.4539;68.3352;
154;22.0422;66.4247;
155;21.6802;64.5436;
156;21.3649;62.6954;
157;21.0936;60.8831;
158;20.8641;59.1092;
159;20.674;57.3758;
160;20.5215;55.6844;
161;20.4049;54.0364;
162;20.3225;52.4328;
163;20.2731;50.8741;
164;20.2554;49.3609;
165;20.2683;47.8933;
166;20.311;46.4714;
167;20.3827;45.095;
168;20.4827;43.764;
169;20.6104;42.4777;
170;20.7654;41.2359;
171;20.9474;40.0379;
172;21.1561;38.8831;
173;21.3913;37.7707;
174;21.6529;36.7;
175;21.9409;35.6702;
176;22.2553;34.6806;
177;22.5962;33.7302;
178;22.9639;32.8182;
179;23.3584;31.9439;
180;23.7802;31.1063;
181;24.2295;30.3047;
182;24.7067;29.5382;
183;25.2122;28.806;
184;25.7466;28.1074;
185;26.3102;27.4415;
186;26.9037;26.8077;
187;27.5277;26.2053;
188;28.1827;25.6336;
189;28.8694;25.0919;
190;29.5885;24.5798;
191;30.3407;24.0965;
192;31.1266;23.6417;
193;31.947;23.2149;
194;32.8027;22.8157;
195;33.6944;22.4437;
196;34.6229;22.0986;
197;35.589;21.7801;
198;36.5933;21.4881;
199;37.6366;21.2224;
200;38.7197;20.983;
201;39.8433;20.7699;
202;41.0079;20.5832;
203;42.2142;20.4229;
204;43.4628;20.2894;
205;44.7541;20.183;
206;46.0885;20.104;
207;47.4664;20.0531;
208;48.8878;20.0308;
209;50.353;20.0378;
210;51.8617;20.0751;
211;53.4136;20.1437;
212;55.0083;20.2446;
213;56.6451;20.3791;
214;58.323;20.5487;
215;60.0407;20.755;
216;61.7966;20.9999;
217;63.5887;21.2852;
218;65.4146;21.6133;
219;67.2715;21.9866;
220;69.1561;22.4078;
221;71.0642;22.8798;
222;72.9915;23.4059;
223;74.9326;23.9894;
224;76.8817;24.6343;
225;78.8318;25.3445;
226;80.7755;26.1245;
227;82.704;26.9789;
228;84.608;27.9126;
229;86.4767;28.9308;
230;88.2987;30.0388;
231;90.0613;31.2422;
232;91.7506;32.5465;
233;93.352;33.9575;
234;94.8496;35.4805;
235;96.2268;37.1206;
236;97.4661;38.8826;
237;98.5497;40.7703;
238;99.4593;42.7868;
239;100.177;44.9337;
240;100.684;47.2111;
241;100.965;49.6173;
242;101.004;52.1479;
243;100.787;54.7963;
244;100.303;57.5528;
245;99.5457;60.4043;
246;98.51;63.3345;
247;97.1964;66.3236;
248;95.6098;69.3487;
249;93.7599;72.3833;
250;91.6613;75.3989;
251;89.3332;78.3646;
252;86.7993;81.2484;
253;84.0869;84.0179;
254;81.2265;86.6414;
255;78.2502;89.0891;
256;75.1915;91.3334;
257;72.0836;93.3503;
258;68.9587;95.1201;
259;65.8473;96.6275;
260;62.777;97.8621;
261;59.7724;98.8185;
262;56.8544;99.4958;
263;54.0403;99.8978;
264;51.3438;100.032;
265;48.775;99.9095;
266;46.3406;99.5439;
267;44.0447;98.9511;
268;41.8887;98.1485;
269;39.8718;97.1544;
270;37.9917;95.9878;
271;36.2445;94.6674;
272;34.6256;93.2119;
273;33.1293;91.6394;
274;31.7499;89.967;
275;30.4809;88.2109;
276;29.3162;86.3864;
277;28.2495;84.5074;
278;27.2747;82.587;
279;26.3859;80.6367;
280;25.5775;78.6674;
281;24.8443;76.6885;
282;24.1812;74.7085;
283;23.5837;72.7349;
284;23.0476;70.7745;
285;22.5688;68.8331;
286;22.1437;66.9157;
287;21.7691;65.0266;
288;21.442;63.1696;
289;21.1596;61.3477;
290;20.9195;59.5637;
291;20.7195;57.8197;
292;20.5574;56.1173;
293;20.4317;54.458;
294;20.3406;52.8428;
295;20.2828;51.2725;
296;20.257;49.7475;
297;20.2621;48.2681;
298;20.2972;46.8344;
299;20.3614;45.4463;
300;20.4541;44.1035;
301;20.5748;42.8058;
302;20.7228;41.5525;
303;20.8978;40.3433;
304;21.0996;39.1773;
305;21.328;38.054;
306;21.5828;36.9727;
307;21.8639;35.9324;
308;22.1715;34.9324;
309;22.5056;33.972;
310;22.8663;33.0502;
311;23.2539;32.1662;
312;23.6686;31.3193;
313;24.1107;30.5084;
314;24.5807;29.7329;
315;25.0789;28.9919;
316;25.6057;28.2847;
317;26.1618;27.6105;
318;26.7475;26.9684;
319;27.3635;26.358;
320;28.0105;25.7784;
321;28.6889;25.229;
322;29.3996;24.7093;
323;30.1431;24.2186;
324;30.9203;23.7565;
325;31.7317;23.3226;
326;32.5782;22.9162;
327;33.4606;22.5372;
328;34.3795;22.1852;
329;35.3358;21.8598;
330;36.3301;21.561;
331;37.3633;21.2886;
332;38.4361;21.0424;
333;39.5491;20.8225;
334;40.703;20.6289;
335;41.8985;20.4618;
336;43.1361;20.3213;
337;44.4163;20.2078;
338;45.7396;20.1217;
339;47.1062;20.0635;
340;48.5164;20.0338;
341;49.9703;20.0332;
342;51.4677;20.0626;
343;53.0085;20.1229;
344;54.5923;20.2153;
345;56.2183;20.341;
346;57.8857;20.5014;
347;59.5932;20.6981;
348;61.3394;20.9328;
349;63.1224;21.2075;
350;64.9398;21.5243;
351;66.789;21.8857;
352;68.6667;22.2942;
353;70.5692;22.7528;
354;72.492;23.2646;
355;74.4301;23.8329;
356;76.3777;24.4616;
357;78.3283;25.1545;
358;80.2744;25.9161;
359;82.2077;26.7508;
360;84.119;27.6635;
361;85.9979;28.6593;
362;87.8332;29.7436;
363;89.6124;30.9218;
364;91.322;32.1996;
365;92.9476;33.5825;
366;94.4735;35.076;
367;95.8835;36.6854;
368;97.1601;38.4155;
369;98.2857;40.2704;
370;99.2419;42.2534;
371;100.011;44.3665;
372;100.574;46.6103;
373;100.915;48.9835;
374;101.018;51.4825;
375;100.868;54.1013;
376;100.454;56.8309;
377;99.768;59.6593;
378;98.8043;62.5709;
379;97.5622;65.5469;
380;96.0455;68.5651;
381;94.2624;71.5999;
382;92.2263;74.6233;
383;89.9554;77.6049;
384;87.4722;80.513;
385;84.8031;83.3151;
386;81.9779;85.9793;
387;79.0284;88.4752;
388;75.9878;90.7744;
389;72.8894;92.8522;
390;69.7659;94.6875;
391;66.6483;96.2639;
392;63.5649;97.5697;
393;60.5411;98.5982;
394;57.5989;99.3474;
395;54.7566;99.82;
396;52.0286;100.022;
397;49.426;99.9651;
398;46.9564;99.6608;
399;44.6245;99.1251;
400;42.4323;98.3749;
401;40.3797;97.4285;
402;38.4645;96.3047;
403;36.6834;95.0222;
404;35.0319;93.5999;
405;33.5045;92.0559;
406;32.0954;90.4077;
407;30.7985;88.6717;
408;29.6075;86.8635;
409;28.5161;84.9973;
410;27.5181;83.0864;
411;26.6076;81.1428;
412;25.779;79.1775;
413;25.0268;77.2002;
414;24.3461;75.2197;
415;23.7321;73.2438;
416;23.1804;71.2794;
417;22.6872;69.3326;
418;22.2486;67.4085;
419;21.8613;65.5117;
420;21.5221;63.6461;
421;21.2285;61.8149;
422;20.9776;60.0209;
423;20.7674;58.2663;
424;20.5958;56.553;
425;20.4608;54.8825;
426;20.3609;53.2558;
427;20.2946;51.6739;
428;20.2606;50.1371;
429;20.2579;48.6459;
430;20.2853;47.2004;
431;20.3421;45.8006;
432;20.4275;44.4461;
433;20.541;43.1368;
