Jour;Population;
0;2;
1;2.06057;
2;2.12164;
3;2.18313;
4;2.24498;
5;2.30711;
6;2.36944;
7;2.43189;
8;2.49439;
9;2.55686;
10;2.61922;
11;2.68139;
12;2.7433;
13;2.80487;
14;2.86603;
15;2.92671;
16;2.98684;
17;3.04635;
18;3.10519;
19;3.16329;
20;3.2206;
21;3.27706;
22;3.33263;
23;3.38726;
24;3.4409;
25;3.49353;
26;3.54511;
27;3.59561;
28;3.645;
29;3.69326;
30;3.74037;
31;3.78633;
32;3.83111;
33;3.87471;
34;3.91713;
35;3.95836;
36;3.99841;
37;4.03727;
38;4.07497;
39;4.1115;
40;4.14688;
41;4.18112;
42;4.21423;
43;4.24624;
44;4.27715;
45;4.307;
46;4.3358;
47;4.36357;
48;4.39034;
49;4.41612;
50;4.44095;
51;4.46484;
52;4.48783;
53;4.50993;
54;4.53117;
55;4.55158;
56;4.57119;
57;4.59;
58;4.60806;
59;4.62539;
60;4.64201;
61;4.65794;
62;4.67321;
63;4.68785;
64;4.70187;
65;4.71529;
66;4.72814;
67;4.74045;
68;4.75222;
69;4.76349;
70;4.77427;
71;4.78457;
72;4.79443;
73;4.80385;
74;4.81286;
75;4.82147;
76;4.82969;
77;4.83755;
78;4.84506;
79;4.85223;
80;4.85908;
81;4.86561;
82;4.87186;
83;4.87782;
84;4.88351;
85;4.88894;
86;4.89412;
87;4.89906;
88;4.90378;
89;4.90828;
90;4.91258;
91;4.91667;
92;4.92058;
93;4.92431;
94;4.92786;
95;4.93125;
96;4.93449;
97;4.93757;
98;4.94051;
99;4.94331;
